Age,Gender,Introversion.Score,Sensing.Score,Thinking.Score,Judging.Score,Interest,Personality,IE
21,Female,5.89208,2.144394544,7.32363,5.462224378,Arts,ENTP,E
24,Female,2.48366,3.20618821,8.06876,3.765012189,Unknown,INTP,I
26,Female,7.0291,6.469302076,4.16472,5.454441761,Others,ESFP,E
30,Male,5.46525,4.179243896,2.82487,5.080477123,Sports,ENFJ,E
31,Female,3.59804,6.189258613,5.31347,3.677984233,Others,ISFP,I
33,Female,1.06869,7.143506853,3.84411,6.347241399,Sports,ISFJ,I
32,Female,6.29802,6.223902581,7.90633,6.705587885,Arts,ESTJ,E
27,Male,3.98957,4.406797471,5.09055,5.55649997,Technology,INFP,I
30,Male,1.55058,6.652427637,0.57707,6.919573121,Unknown,ISFJ,I
26,Female,7.02255,6.929233783,9.49484,6.052260677,Arts,ESTP,E
32,Male,3.98624,6.287162951,1.83208,5.447140637,Arts,ISFP,I
32,Male,4.53003,4.627212288,0.61009,5.558510043,Arts,ENFP,E
27,Female,9.29553,6.634297859,7.19146,5.219353564,Sports,ESTJ,E
28,Male,1.01677,5.156651652,8.26066,6.966520027,Arts,INTJ,I
31,Male,1.14596,6.498267642,2.98133,6.820404491,Others,ISFJ,I
28,Male,9.93171,6.819572665,8.98271,5.647164882,Arts,ESTP,E
32,Female,5.61706,6.190430532,0.773,7.59879469,Others,ESFJ,E
40,Female,8.07492,7.644282574,1.7047,5.993003615,Arts,ESFP,E
26,Male,2.75736,6.353615656,9.83251,6.232064241,Others,ISTJ,I
21,Female,1.29799,6.463862514,8.29384,5.771908533,Sports,INTJ,I
26,Male,0.28853,6.357330656,0.38543,4.777515143,Unknown,ISFP,I
43,Male,2.66864,6.118689029,5.79244,2.984196236,Sports,ISFP,I
25,Male,4.55792,6.292396073,3.87543,5.711100933,Unknown,ISFP,I
25,Male,4.745,6.927306716,8.6907,6.182199254,Arts,ESTJ,E
24,Male,3.73142,2.377148273,1.64649,5.515823522,Arts,INFP,I
30,Male,8.11472,6.183239678,3.71172,7.205182648,Arts,ESFJ,E
26,Male,8.34654,7.243558377,4.84332,6.558666453,Unknown,ESFJ,E
26,Male,2.15134,6.034398069,7.1155,5.272596344,Sports,INTJ,I
29,Female,1.64937,5.856951258,3.63261,5.183461627,Sports,INFJ,I
27,Female,9.99697,6.162209109,6.66667,6.24964629,Unknown,ESTJ,E
28,Female,3.65027,6.137394569,9.28303,2.472787691,Arts,ESTP,E
25,Female,8.92957,6.938028787,7.89794,6.087538084,Unknown,ESTP,E
28,Male,1.68275,6.868932818,2.33712,4.89726501,Sports,ISFP,I
26,Female,0.24833,7.049131299,9.75167,2.802447538,Unknown,ISTP,I
27,Male,2.65191,7.627439237,7.42669,3.13244855,Arts,ISTP,I
24,Female,9.2027,5.165528173,2.82748,4.155086638,Unknown,ENFP,E
34,Female,6.39078,4.91500886,9.92188,4.578175128,Others,ENTP,E
24,Female,7.77627,5.879191741,5.64043,5.440611101,Arts,ENTP,E
30,Male,4.92346,7.420798401,4.83204,6.072067076,Unknown,ESFJ,E
29,Male,4.16954,3.533304628,7.38713,7.305510133,Others,INTJ,I
23,Male,9.05568,5.889722309,2.62496,7.13832709,Technology,ENFJ,E
26,Male,4.67871,8.040719552,9.88908,6.142172834,Arts,ISTJ,I
34,Male,5.74512,1.168024226,2.51979,6.550922398,Arts,ENFJ,E
27,Male,1.3476,6.162959876,2.27648,7.156971931,Arts,ISFJ,I
28,Female,5.40763,6.447529643,5.87289,3.887960996,Arts,ESTP,E
25,Male,9.93686,7.201479686,8.79948,4.898499347,Others,ESTP,E
30,Male,6.11465,6.292360413,9.09612,7.203576807,Unknown,ESTJ,E
28,Female,0.47346,6.776792264,5.84681,5.322647079,Others,ISTP,I
26,Male,5.09375,4.35827561,9.58736,6.011208541,Sports,ENTJ,E
26,Female,4.72305,6.315526905,5.62712,5.341650382,Unknown,ESTP,E
30,Female,3.82631,6.838850142,0.18192,7.442540592,Arts,ESFJ,E
23,Female,0.03394,5.086927545,3.68783,4.917765723,Others,INFP,I
23,Female,6.69746,6.424481175,1.97197,7.428558762,Arts,ESFJ,E
24,Male,7.01378,3.379199976,3.67597,3.442991704,Arts,ENFP,E
21,Male,0.51834,4.250710532,8.77713,5.971277991,Sports,INTJ,I
34,Male,1.23727,6.209174933,9.80111,6.218396975,Others,ISTJ,I
25,Male,0.41882,6.99706899,1.52657,4.591009866,Sports,ISFP,I
25,Female,6.465,6.792770551,1.42658,6.566238941,Unknown,ESFJ,E
31,Female,2.74982,6.179555682,3.67152,6.359580049,Unknown,ISFP,I
28,Female,4.39971,3.915602886,0.27381,5.903827785,Unknown,INFP,I
21,Female,1.5701,3.721510446,0.34386,6.029446741,Technology,INFJ,I
21,Female,0.08104,7.284915344,3.59145,3.327044518,Arts,INFP,I
28,Male,0.25266,7.117045609,6.94907,6.267960916,Sports,ISTJ,I
27,Male,2.60443,6.675293809,6.95374,6.948383037,Unknown,ISTJ,I
31,Male,8.21621,7.182191444,5.78823,5.665423962,Technology,ESFP,E
21,Female,2.07877,5.21893353,6.85174,5.064060475,Sports,INTJ,I
28,Female,0.14572,5.39009616,6.63908,6.68785839,Arts,INTJ,I
26,Male,3.13469,5.419127738,1.27418,2.26013035,Unknown,INFP,I
22,Male,1.74315,3.78393996,0.60551,7.153433129,Unknown,INFP,I
28,Female,4.12457,5.107543819,8.29161,6.574833969,Technology,INTJ,I
24,Female,2.09509,6.294306828,2.58922,6.430464808,Unknown,ISFJ,I
33,Female,1.24184,7.283005425,7.64623,6.2181447,Others,ISTP,I
23,Female,4.95558,6.332276888,8.29982,6.904069252,Others,ESTJ,E
32,Female,1.36041,4.367842829,1.80451,2.389494724,Unknown,INFP,I
24,Male,7.43973,6.458664044,5.23037,4.285482593,Unknown,ESFP,E
31,Male,7.03279,6.566863698,7.67226,4.930128462,Unknown,ESTP,E
22,Female,8.84891,3.649608262,8.39875,5.254310497,Unknown,ENTP,E
27,Male,7.34098,7.087762695,9.93437,6.446604787,Unknown,ESTJ,E
20,Male,8.84473,4.434578834,2.29269,5.702400137,Others,ENFP,E
24,Female,2.93422,6.472754728,0.3387,7.495610964,Unknown,ESFJ,E
29,Female,7.84371,6.152156207,0.89516,3.482703662,Technology,ESFP,E
29,Female,9.46124,6.113207343,4.48858,6.340701652,Others,ESFJ,E
28,Male,2.31132,5.707327404,3.45106,5.718968508,Others,INFP,I
29,Male,9.95518,5.145028587,0.00782,1.915663494,Sports,ENFP,E
34,Female,0.48194,6.389533067,9.61114,2.984572633,Others,ISTP,I
24,Male,4.27848,6.516681774,7.98671,4.660185179,Arts,ISTP,I
27,Male,3.67219,6.068606212,0.52808,3.54836392,Others,ENFP,E
24,Female,8.33821,5.853701267,8.57213,6.967350848,Others,ENTJ,E
36,Female,2.87,4.20880805,1.39664,4.306250883,Others,INFP,I
29,Male,1.59613,6.073763949,0.47731,6.530450498,Others,INFJ,I
27,Male,6.21505,6.137824523,1.27413,3.120674876,Unknown,ESFP,E
32,Female,2.16092,3.69491112,7.73209,4.006511407,Technology,INTP,I
20,Female,9.61759,4.664094426,5.32641,4.666870128,Sports,ENFP,E
30,Female,3.31617,6.16697659,2.19703,5.136576129,Sports,ISFJ,I
24,Male,1.32508,5.785545149,8.94263,5.937669094,Sports,INTJ,I
26,Male,9.42664,6.344173297,3.62776,6.401964637,Technology,ESFJ,E
41,Female,2.72394,6.546948303,6.97384,1.467739455,Arts,ISTP,I
28,Female,1.96955,3.789524649,3.93671,6.470257052,Sports,INFJ,I
