"cntry","n","interest","corrupt","trust_rate","mean_age","mean_edu","gdp","gdp_tril"
"AND",1004,2.31827309236948,5.80061349693252,0.255744255744256,46.8256972111554,3.85643070787637,2891001149,0.002891001149
"ARG",1003,2.17051153460381,8.51454363089268,0.206932773109244,42.5513459621137,2.7357926221336,3.86e+11,0.386
"ARM",1223,2.54799015586546,7.55155071248952,0.0810810810810812,49.0441537203598,4.43868312757202,12641698583,0.012641698583
"AUS",1813,2.65094339622641,6.64604236343367,0.54017857142857,54.2958217270195,4.65519219736087,1.33e+12,1.33
"BGD",1200,2.03228547153781,7.74583333333333,0.129274395329441,36.5908333333333,1.85321100917431,3.74e+11,0.374
"BOL",2067,1.95780795344326,8.62806673209029,0.0859794821690276,38.3328495403967,3.35031538088307,36629843806,0.036629843806
"BRA",1762,2.10207612456747,9.45475372279496,0.0664739884393063,43.5553662691652,2.77797001153403,1.48e+12,1.48
"CAN",4018,2.72996515679442,6.73369835739173,0.495022399203585,46.5647088103535,4.89442081561171,1.66e+12,1.66
"CHL",1000,1.93575129533679,7.10383064516129,0.142710472279261,45.271,3.82164328657314,2.54e+11,0.254
"CHN",3036,2.5100560501154,6.49255213505462,0.654370222665338,44.5849802371541,2.83433133732535,1.5e+13,15
"COL",1520,1.95986842105264,9.47828947368421,0.0453947368421051,38.846052631579,3.11949265687584,2.7e+11,0.27
"CYP",1000,2.21116751269036,8.22647362978283,0.0802083333333334,43.539,4.44902162718846,25555093854,0.025555093854
"DEU",1528,3.07002617801048,5.58333333333333,0.459514170040486,50.7971204188482,4.07868852459016,3.94e+12,3.94
"ECU",1200,1.93577981651376,8.87739783152627,0.0586236193712829,39.4883333333333,3.21470342522974,95865473000,0.095865473
"EGY",1200,1.93389121338912,8.52147766323024,0.0735171261487053,39.6991666666667,2.5975,3.84e+11,0.384
"ETH",1230,2.00493015612161,8.64907872696818,0.119086460032626,31.9268292682927,2.02450980392157,1.08e+11,0.108
"GRC",1200,2.05258764607679,8.3672268907563,0.0841750841750842,50.9291666666667,3.2325,1.91e+11,0.191
"GTM",1229,2.37808896210873,9.13751017087063,0.179820992676973,33.4987794955248,4.08537616229924,77719464221,0.077719464221
"HKG",2075,2.13574879227053,5.43953375424964,0.394966118102614,47.2196307094265,4.01736613603474,3.45e+11,0.345
"IDN",3200,2.15017279296262,8.38391167192429,0.0518912160050015,40.0265624999999,2.25664270084401,1.06e+12,1.06
"IRN",1499,2.47326203208556,6.77266576454668,0.148395721925134,39.4769846564376,3.99129852744311,2.62e+11,0.262
"IRQ",1200,2.18427726120034,8.78083333333333,0.112436115843271,36.6025,2.84795321637427,1.81e+11,0.181
"JOR",1203,2.27493713327745,8.19656652360515,0.159698996655519,43.3142144638403,3.16652789342215,43700383099,0.043700383099
"JPN",1353,2.65329295987888,6.87692307692308,0.355971896955504,54.780487804878,4.38070306656694,5.05e+12,5.05
"KAZ",1276,2.3864,6.97725426482534,0.238916256157635,41.2452978056426,4.7921760391198,1.71e+11,0.171
"KEN",1266,2.46693227091634,8.4562101910828,0.0958466453674121,30.7402700555997,3.31031746031746,1.01e+11,0.101
"KGZ",1200,2.05421184320267,8.89646246764452,0.118487394957983,41.3025,4.42952460383653,8270468614,0.008270468614
"KOR",1245,2.4,6.5140562248996,0.329317269076305,45.629718875502,4.11807228915663,1.64e+12,1.64
"LBN",1200,2.32083333333333,7.83333333333333,0.0991666666666666,40.8266666666667,3.69333333333333,31712128254,0.031712128254
"LBY",1196,2.5407220822838,9.11554800339847,0.092687074829932,40.2177215189873,4.3347280334728,46854285441,0.046854285441
"MAC",1023,2.19745845552297,6.70472440944882,0.43801652892562,40.6888068880689,3.84984984984985,25343525936,0.025343525936
"MAR",1200,2.4775,7.70333333333333,0.165,37.22,2.47916666666667,1.21e+11,0.121
"MDV",1039,1.94787644787645,9.27290260366442,0.213242453748783,37.6525096525096,2.69371980676329,3712604583,0.003712604583
"MEX",1741,2.0551724137931,8.86946520989074,0.102991944764096,43.3582518688901,3.02308136180035,1.12e+12,1.12
"MMR",1200,2.94166666666667,7.38083333333333,0.150833333333334,40.4316666666667,2.37729549248748,79006113643,0.079006113643
"MNG",1638,2.2313341493268,7.6019536019536,0.274954072259644,38.7985347985348,4.64529914529914,13312981429,0.013312981429
"MYS",1313,2.42269611576542,7.999238385377,0.195734958111196,38.3297791317593,3.34424980959635,3.37e+11,0.337
"NGA",1237,2.57664233576642,8.73705501618124,0.126829268292684,32.5634599838318,2.58876221498371,4.32e+11,0.432
"NIC",1200,1.9625,7.87232219365896,0.0424999999999999,35.1325,2.73561301084237,12726422432,0.012726422432
"NLD",2145,2.58558558558558,6.2027027027027,0.612055641421948,53.3599067599067,4.7324516785351,9.33e+11,0.933
"NZL",1057,2.80523255813953,5.51958762886598,0.595024875621891,57.8511673151751,4.44249512670565,2.13e+11,0.213
"PAK",1995,2.29226069246436,8.69585253456221,0.234967155128853,35.6455186304129,2.16214859437751,3e+11,0.3
"PER",1400,1.91410164638511,9.50716332378223,0.0530465949820789,40.1585714285714,3.30928571428571,2.01e+11,0.201
"PHL",1200,2.9225,6.7275,0.0534670008354219,43.7141666666667,2.34083333333333,3.62e+11,0.362
"PRI",1127,1.87982062780269,9.35650623885918,0.17831541218638,49.7822222222223,4.47648624667258,1.03e+11,0.103
"ROU",1257,1.97018533440774,8.73245251857969,0.118739903069467,48.0548387096774,3.20414937759336,2.52e+11,0.252
"RUS",1810,2.34866962305987,7.66456422018349,0.239093484419263,45.4066298342542,4.87333333333333,1.49e+12,1.49
"SGP",2012,2.1751497005988,3.52434077079107,0.33983983983984,47.7833001988071,4.21812749003984,3.49e+11,0.349
"SRB",1046,1.94540229885058,8.39051463168517,0.166180758017493,46.137104506232,5.13463414634146,55874017669,0.055874017669
"THA",1500,2.65060240963855,6.96600951733515,0.313684210526315,46.2181454302869,2.15978334461747,5e+11,0.5
"TJK",1200,2.49416666666667,5.625,0.205833333333333,41.065,4.25231286795626,8133963551,0.008133963551
"TUN",1208,2.08607594936709,8.16013344453712,0.142491467576792,43.1634854771784,2.55536912751678,42491780918,0.042491780918
"TUR",2415,2.44831932773109,6.57234589041095,0.142616033755274,38.8318144159072,2.333748960931,7.2e+11,0.72
"UKR",1289,2.17586750788643,8.40690208667737,0.306528662420382,47.5725368502715,4.89749608763693,1.57e+11,0.157
"USA",2596,2.79339805825243,7.8290034897247,0.397371472748359,43.42218798151,4.88212334113974,2.14e+13,21.4
"VNM",1200,2.44416666666667,7.36916666666667,0.276666666666667,37.8925,3.23416666666667,3.47e+11,0.347
"ZWE",1215,2.28984310487201,8.55343827671914,0.0214168039538715,39.1494632535095,2.45259686727123,26868564055,0.026868564055
